ï»¿ASC_Name;Provider_id;NPI;City;State;Zip_Code;Year;ASC_1_Measure_Rate;ASC_1_Footnote;ASC_2_Measure_Rate;ASC_2_Footnote;ASC_3_Measure_Rate;ASC_3_Footnote;ASC_4_Measure_Rate;ASC_4_Footnote;ASC_5_Measure_Rate;ASC_5_Footnote;ASC_1_5_Encounter_Start_Date;ASC_1_5_Encounter_End_Date;ASC_6_SSChecklist;ASC_6_Footnote;ASC_7_Volume;ASC_7_Respiratory;ASC_7_Eye;ASC_7_Genitourinary;ASC_7_Musculoskeletal;ASC_7_Gastrointestinal;ASC_7_Nervous_System;ASC_7_Skin;ASC_7_Footnote;ASC_6_7_Encounter_Start_Date;ASC_6_7_Encounter_End_Date;ASC_8_rate;ASC_8_Footnote;ASC_8_Encounter_Date;ASC_9_rate;ASC_9_Footnote;ASC_10_rate;ASC_10_Footnote;ASC_9_10_Encounter_Start_Date;ASC_9_10_Encounter_End_Date;ASC_11_rate;ASC_11_Footnote;ASC_11_Encounter_Start_Date;ASC_11_Encounter_End_Date;ASC_12_Total_Cases;ASC_12_Performance_Category;ASC_12_Interval_Lower_Limit;ASC_12_Interval_Upper_Limit;ASC_12_Footnote;ASC_12_Encounter_Start_Date;ASC_12_Encounter_End_Date;ASC_12_RSHV_Rate
Box Hill Surgery Center, LLC;21C0001485;1316133457;Abingdon;MD;21009;2016;N/A;5;N/A;5;N/A;5;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;1;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Riddle Surgical Center;39C0001281;1316174782;Media;PA;19063;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;3,229;75;107;0;1,204;1,004;823;16;;01/01/16;12/31/2016;100.00;;2016/2017;100.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;400;No Different than the National Rate;9.7;18.8;;01/01/16;12/31/2016;13.5
Carillon Surgery Center;10C0001531;1316189095;St. Petersburg;FL;33716;2016;0.000;;0.000;;0.000;;0.000;;967.74;;01/01/16;12/31/2016;Yes;;1,574;12;275;105;949;60;171;2;;01/01/16;12/31/2016;73.49;;2016/2017;N/A;5;N/A;1;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Cerritos Surgery Center;05C0001909;1316190077;Cerritos;CA;90703;2016;0.000;;0.000;;0.000;1;0.000;1;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;Number of Cases Too Small;N/A;N/A;1;01/01/16;12/31/2016;N/A
Stockton Surgery Center;05C0001888;1316190796;Stockton;CA;95209;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;3,202;0;0;293;958;1,951;0;0;;01/01/16;12/31/2016;86.49;;2016/2017;14.29;;75.25;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;96;No Different than the National Rate;8.5;17.1;;01/01/16;12/31/2016;12.1
Laredo Digestive Health Center;45C0001496;1316191430;Laredo;TX;78041;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;3,26;0;0;0;0;3,26;0;0;;01/01/16;12/31/2016;100.00;;2016/2017;88.81;;62.11;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;366;No Different than the National Rate;8.7;16.1;;01/01/16;12/31/2016;12.0
El Dorado Surgery Center;05C0001560;1316192826;Placerville;CA;95667;2016;0.000;;0.470;;0.000;;0.470;;991.30;;01/01/16;12/31/2016;Yes;;1,808;24;1,024;0;213;517;0;30;;01/01/16;12/31/2016;92.50;;2016/2017;N/A;1;92.52;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;164;No Different than the National Rate;8.8;16.8;;01/01/16;12/31/2016;12.4
Pain Centers of Wisconsin - Wausau, LLC;52C0001099;1316206972;Wausau;WI;54401;2016;0.000;;0.000;;0.000;;1.661;;1,000.00;1;01/01/16;12/31/2016;Yes;;497;0;0;0;0;0;497;0;;01/01/16;12/31/2016;N/A;1;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Pain Centers of Wisconsin - Fort Atkinson, LLC;52C0001097;1316218167;Fort Atkinson;WI;53538;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;351;0;0;0;0;0;351;0;;01/01/16;12/31/2016;88.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Coastal Surgery Center, LLC;31C0001298;1316219470;Neptune;NJ;7753;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;1,091;695;0;0;28;324;33;11;;01/01/16;12/31/2016;78.13;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Desert View Endoscopy Center, LLC;05C0001988;1316231020;Victorville;CA;92395;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;4,641;0;0;0;0;4,641;0;0;;01/01/16;12/31/2016;0.00;;2016/2017;57.27;;45.48;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;276;No Different than the National Rate;9.4;18.2;;01/01/16;12/31/2016;13.2
CPMSC Carrollton, LLC;11C0001377;1316233612;Carrollton;GA;30117;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;5,3;0;0;0;0;0;5,3;0;;01/01/16;12/31/2016;100.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Treasure Coast Urology Center, LLC;10C0001523;1316253438;Vero Beach;FL;32960;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;413;0;2;359;25;0;27;0;;01/01/16;12/31/2016;76.47;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Georgia Advance Surgery Center for Women;11C0001342;1316276512;Cartersville;GA;30120;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;25;0;0;24;0;1;0;0;;01/01/16;12/31/2016;78.57;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
The Surgery Center of Athens;44C0001115;1316290380;Athens;TN;37303;2016;1.114;;0.000;;0.000;;0.000;;833.33;;01/01/16;12/31/2016;Yes;;3,651;0;2,202;0;0;1,449;0;0;;01/01/16;12/31/2016;55.56;;2016/2017;33.94;;34.91;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;167;No Different than the National Rate;8.8;17.2;;01/01/16;12/31/2016;12.4
Pacific Endoscopy LLC;05C0001632;1316291867;Atherton;CA;94027;2016;0.000;;1.527;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;2,732;0;0;0;0;2,732;0;0;;01/01/16;12/31/2016;100.00;;2016/2017;97.29;;99.84;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;376;No Different than the National Rate;9.5;18.0;;01/01/16;12/31/2016;13.1
Orchard Surgical Center, LLC;30C0001036;1316350275;Salem;NH;3079;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;6,259;99;703;544;1,847;2,475;149;442;;01/01/16;12/31/2016;97.70;;2016/2017;100.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;267;No Different than the National Rate;9.2;18.1;;01/01/16;12/31/2016;12.9
Lone Star Endoscopy Center LLC;45C0001570;1316359532;Flower Mound;TX;75022;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;6,774;0;0;0;0;6,774;0;0;;01/01/16;12/31/2016;72.73;;2016/2017;88.37;;98.08;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;648;No Different than the National Rate;10.9;20.6;;01/01/16;12/31/2016;14.9
Minnesota Eye Laser & Surg CTR LLC - Minnetonka;24C0001080;1316379647;Minnetonka;MN;55305;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;3;0;2,992;0;0;0;0;8;;01/01/16;12/31/2016;61.90;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Bayonet Point Surgery Center, LTD;10C0001433;1316900830;Hudson;FL;34667;2016;0.000;;0.000;;0.000;;0.478;;998.51;;01/01/16;12/31/2016;Yes;;5,305;0;623;179;847;3,42;43;193;;01/01/16;12/31/2016;38.46;;2016/2017;48.96;;92.71;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;495;No Different than the National Rate;9.0;16.8;;01/01/16;12/31/2016;12.2
Ohio Eye Surgery Center;36C0001061;1316905680;Chillicothe;OH;45601;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;1,523;0;1,523;0;0;0;0;0;;01/01/16;12/31/2016;23.08;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
The Endoscopy Center of The Upstate;42C0001057;1316910086;Greenville;SC;29615;2016;0.000;;0.000;;0.000;;3.286;;N/A;5;01/01/16;12/31/2016;Yes;;3,155;0;0;0;0;3,155;0;0;;01/01/16;12/31/2016;84.00;;2016/2017;100.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;523;No Different than the National Rate;10.4;19.4;;01/01/16;12/31/2016;14.2
Chevy Chase Endoscopy Center;21C0001251;1316919574;Chevy Chase;MD;20815;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;1;01/01/16;12/31/2016;Yes;;5,598;0;0;0;0;5,598;0;0;;01/01/16;12/31/2016;84.62;;2016/2017;81.88;;98.21;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;1185;No Different than the National Rate;10.1;18.0;;01/01/16;12/31/2016;13.4
Carolina Bone and Joint Surgery Center, LLC;42C0001051;1316924632;Myrtle Beach;SC;29579;2016;0.000;;1.017;;0.000;;2.035;;995.20;;01/01/16;12/31/2016;Yes;;2,467;0;0;0;2,031;0;420;16;;01/01/16;12/31/2016;75.34;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Miracle Hill Surgery Center;28C0001031;1316926405;Omaha;NE;68154;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;1,982;0;1,337;0;177;0;444;24;;01/01/16;12/31/2016;71.05;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Sequoia Surgical Pavilion;05C0001515;1316939556;Walnut Creek;CA;94598;2016;0.000;;0.000;;0.000;;0.000;;993.46;;01/01/16;12/31/2016;Yes;;3,322;149;0;0;2,64;7;511;15;;01/01/16;12/31/2016;86.99;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Grand Island Surgery Center;28C0001019;1316940539;Grand Island;NE;68803;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;6,528;66;1,229;235;1,029;2,71;1,248;11;;01/01/16;12/31/2016;98.65;;2016/2017;78.13;;79.17;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;393;No Different than the National Rate;10.0;19.3;;01/01/16;12/31/2016;13.8
Alaska Spine Institute Surgery Center;02C0001008;1316942048;Anchorage;AK;99508;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;4,333;0;0;0;1,56;0;2,761;12;;01/01/16;12/31/2016;80.56;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Charleston Endoscopy Center;42C0001053;1316946106;Charleston;SC;29414;2016;0.000;;0.000;;0.000;;1.248;;N/A;5;01/01/16;12/31/2016;Yes;;12,132;0;0;0;0;12,132;0;0;;01/01/16;12/31/2016;87.84;;2016/2017;100.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;1781;No Different than the National Rate;11.1;18.8;;01/01/16;12/31/2016;14.5
Northwest Eye Surgeons;50C0001018;1316947278;Seattle;WA;98133;2016;0.549;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;4,1;0;3,852;0;0;0;0;248;;01/01/16;12/31/2016;78.26;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Amarillo Endoscopy Center;45C0001302;1316947609;Amarillo;TX;79124;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;1;01/01/16;12/31/2016;Yes;;3,425;0;0;0;0;3,425;0;0;;01/01/16;12/31/2016;81.25;;2016/2017;84.86;;54.95;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;443;No Different than the National Rate;10.2;19.1;;01/01/16;12/31/2016;13.8
New Port Beach Surgery Center;05C0001243;1316949415;Newport Beach;CA;92626;2016;0.000;;0.000;;0.000;;3.480;;1,000.00;;01/01/16;12/31/2016;Yes;;4,972;228;52;6;172;4,357;69;88;;01/01/16;12/31/2016;N/A;5;2016/2017;94.92;;90.74;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;319;No Different than the National Rate;8.4;16.2;;01/01/16;12/31/2016;11.8
Bethesda Endoscopy Center, LLC;21C0001171;1316969058;Bethesda;MD;20817;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;7,747;0;0;0;0;7,747;0;0;;01/01/16;12/31/2016;80.56;;2016/2017;51.26;;37.47;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;1041;No Different than the National Rate;8.5;15.6;;01/01/16;12/31/2016;11.5
Florida Surgery Center Enterprises, LLC;10C0001496;1316973050;Tampa;FL;33603;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;6,251;55;715;34;335;1,607;3,344;161;;01/01/16;12/31/2016;53.89;;2016/2017;21.05;;62.77;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;62;No Different than the National Rate;8.9;18.0;;01/01/16;12/31/2016;12.7
Central Maryland Endoscopy LLC;21C0001418;1316976137;Elkridge;MD;21075;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;2,661;0;0;0;0;2,661;0;0;;01/01/16;12/31/2016;87.10;;2016/2017;100.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;382;No Different than the National Rate;8.8;16.9;;01/01/16;12/31/2016;12.2
Atlantic Coastal Surgery Center;31C0001093;1316992761;Egg Harbor Township;NJ;8234;2016;0.000;;0.000;;0.000;;1.441;;1,000.00;;01/01/16;12/31/2016;Yes;;154;0;0;0;0;154;0;0;;01/01/16;12/31/2016;61.54;;2016/2017;N/A;1;N/A;1;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;112;No Different than the National Rate;9.0;17.7;;01/01/16;12/31/2016;12.7
Center for Digestive Diseases and Cary Endoscopy Center, PC;34C0001143;1326001819;Cary;NC;27518;2016;0.000;;0.000;;2.632;;0.000;;500.00;1;01/01/16;12/31/2016;Yes;;1,839;0;0;0;0;1,839;0;0;;01/01/16;12/31/2016;41.67;;2016/2017;75.20;;0.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;204;No Different than the National Rate;8.9;17.3;;01/01/16;12/31/2016;12.5
Grossmont Surgery Center;05C0001090;1326004110;La Mesa;CA;91942;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;6,418;0;3,027;0;0;3,129;0;262;;01/01/16;12/31/2016;93.75;;2016/2017;85.59;;45.17;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;536;No Different than the National Rate;8.2;15.8;;01/01/16;12/31/2016;11.6
Grove Pl Surgery Center;10C0001391;1326045014;Vero Beach;FL;32960;2016;0.000;;0.000;;0.000;;1.434;;997.65;;01/01/16;12/31/2016;Yes;;4,109;0;0;13;4,072;0;0;24;;01/01/16;12/31/2016;19.32;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
South Emerson Surgery Center, LLC;15C0001105;1326046822;Indianapolis;IN;46237;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;1;01/01/16;12/31/2016;Yes;;1,882;0;0;0;1,882;0;0;0;;01/01/16;12/31/2016;100.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
St. Lucy's Outpatient Surgery Center Inc;10C0001085;1326047101;Port Charlotte;FL;33952;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;2,849;0;2,849;0;0;0;0;0;;01/01/16;12/31/2016;68.18;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
West Shore Endoscopy Center;39C0001048;1326047937;Camp Hill;PA;17011;2016;1.820;;0.608;;0.000;;0.000;;1,000.00;1;01/01/16;12/31/2016;Yes;;11,719;0;0;0;0;11,719;0;0;;01/01/16;12/31/2016;75.93;;2016/2017;95.33;;95.50;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;722;No Different than the National Rate;8.6;16.1;;01/01/16;12/31/2016;11.8
Lourdes Outpatient Surgery Center;18C0001027;1326048091;Paducah;KY;42003;2016;0.000;;0.000;;0.000;;0.000;;967.21;;01/01/16;12/31/2016;Yes;;2,974;3;301;0;1,272;1,133;150;115;;01/01/16;12/31/2016;45.90;;2016/2017;92.19;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;111;No Different than the National Rate;8.5;16.8;;01/01/16;12/31/2016;12.1
Fort Sanders West Outpatient Surgery Center;44C0001027;1326054172;Knoxville;TN;37922;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;4,118;110;0;52;71;504;3,376;5;;01/01/16;12/31/2016;98.17;;2016/2017;100.00;;45.60;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;44;No Different than the National Rate;9.0;17.8;;01/01/16;12/31/2016;12.7
Suburban Outpatient Surgery Center;21C0001351;1326075250;Bethesda;MD;20817;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;621;5;417;0;112;32;39;16;;01/01/16;12/31/2016;100.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Prescott-Southwestern Eye Center;03C0001206;1326089715;Prescott;AZ;86301;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;548;0;548;0;0;0;0;0;;01/01/16;12/31/2016;N/A;1;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Pain Treatment Centers of Michigan, LLC;23C0001071;1326091513;Saginaw;MI;48603;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;2,277;0;0;0;0;0;2,276;1;;01/01/16;12/31/2016;97.83;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Proliance Surgeons Inc., P.S.;50C0001070;1326094491;Seattle;WA;98104;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;477;215;1;142;116;0;0;3;;01/01/16;12/31/2016;94.23;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Harrisburg Endoscopy & Surgery Center;39C0001093;1326097536;Harrisburg;PA;17111;2016;0.000;;0.000;;0.000;;0.920;;1,000.00;1;01/01/16;12/31/2016;Yes;;8,23;0;0;0;16;8,21;0;4;;01/01/16;12/31/2016;75.61;;2016/2017;80.21;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;529;No Different than the National Rate;8.7;16.4;;01/01/16;12/31/2016;12.0
Fredericksburg Ambulatory Surgery Center;49C0001006;1326097981;Fredericksburg;VA;22401;2016;0.000;;1.541;;0.000;;4.622;;1,000.00;;01/01/16;12/31/2016;Yes;;2,64;160;409;165;1,066;277;361;202;;01/01/16;12/31/2016;86.91;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Omaha Ambulatory Surgery Center;28C0001006;1326107509;Omaha;NE;68114;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;1,711;0;0;0;30;0;1,681;0;;01/01/16;12/31/2016;100.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Acadiana Endoscopy Center, Inc.;19C0001046;1326114364;Lafayette;LA;70503;2016;0.000;;0.000;;0.618;;0.000;;0.00;1;01/01/16;12/31/2016;Yes;;7,012;0;0;0;0;7,012;0;0;;01/01/16;12/31/2016;88.57;;2016/2017;89.95;;82.22;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;1021;No Different than the National Rate;9.0;16.5;;01/01/16;12/31/2016;12.3
El Paso CTR for Gastrointestinal Endoscopy LLC;45C0001465;1326114869;El Paso;TX;79902;2016;0.000;;0.000;;0.000;;2.635;;0.00;1;01/01/16;12/31/2016;Yes;;5,132;0;0;0;0;5,132;0;0;;01/01/16;12/31/2016;89.74;;2016/2017;23.96;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;187;No Different than the National Rate;8.4;16.7;;01/01/16;12/31/2016;12.0
Ssm Health Surgery/Digestive Health CTR On Park St;52C0001011;1326119157;Madison;WI;53715;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;14,485;246;2;210;1,548;10,443;1,915;121;;01/01/16;12/31/2016;99.13;;2016/2017;100.00;;89.58;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;1001;No Different than the National Rate;8.2;14.9;;01/01/16;12/31/2016;11.1
Endoscopy Center of Connecticut;07C0001047;1326131418;Guilford;CT;6437;2016;0.000;1;0.000;1;0.000;1;0.000;1;N/A;5;01/01/16;12/31/2016;Yes;;2,101;0;0;0;0;2,101;0;0;;01/01/16;12/31/2016;96.88;;2016/2017;100.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Madison St Surgery Center;06C0001056;1326132291;Denver;CO;80206;2016;0.000;;0.000;;0.000;;0.000;;0.00;1;01/01/16;12/31/2016;Yes;;6,56;0;6,56;0;0;0;0;0;;01/01/16;12/31/2016;95.74;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Teaneck Gastroenterology and Endoscopy Center;31C0001067;1326136177;Teaneck;NJ;7666;2016;0.000;;0.000;;0.000;;0.000;;888.89;1;01/01/16;12/31/2016;Yes;;4,514;0;0;0;0;4,514;0;0;;01/01/16;12/31/2016;65.00;;2016/2017;100.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;610;No Different than the National Rate;9.1;17.0;;01/01/16;12/31/2016;12.5
Lebanon Endoscopy Center;44C0001166;1326142878;Lebanon;TN;37090;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;2,07;0;0;0;0;2,07;0;0;;01/01/16;12/31/2016;89.47;;2016/2017;100.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;237;No Different than the National Rate;9.4;18.5;;01/01/16;12/31/2016;13.3
Center for Special Surgery;35C0001022;1326144221;Fargo;ND;58103;2016;0.000;;0.000;;0.000;;0.000;;975.90;;01/01/16;12/31/2016;Yes;;1,215;207;539;0;287;0;182;0;;01/01/16;12/31/2016;88.10;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Updegraff Vision Laser and Surgery Center;10C0001396;1326170036;St. Petersburg;FL;33713;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;3,999;0;3,999;0;0;0;0;0;;01/01/16;12/31/2016;23.53;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Ngs Endoscopy CTR;44C0001040;1326176215;Nashville;TN;37205;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;1,381;0;0;0;0;1,381;0;0;;01/01/16;12/31/2016;72.73;;2016/2017;31.40;;60.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;257;No Different than the National Rate;8.5;16.5;;01/01/16;12/31/2016;11.8
Alamarcon Holding, LLC;10C0001533;1326181314;Tallahassee;FL;32308;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;491;0;44;0;17;0;6;424;;01/01/16;12/31/2016;60.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
